range,codepoint,char,unicode_name,image_file
Musical Symbols,U+1D1E5,𝇥,MUSICAL SYMBOL KIEVAN QUARTER NOTE STEM UP,images/U+1D1E5_MUSICAL_SYMBOL_KIEVAN_QUARTER_NOTE_STEM_UP.png
Musical Symbols,U+1D1E6,𝇦,MUSICAL SYMBOL KIEVAN EIGHTH NOTE STEM DOWN,images/U+1D1E6_MUSICAL_SYMBOL_KIEVAN_EIGHTH_NOTE_STEM_DOWN.png
Musical Symbols,U+1D1E7,𝇧,MUSICAL SYMBOL KIEVAN EIGHTH NOTE STEM UP,images/U+1D1E7_MUSICAL_SYMBOL_KIEVAN_EIGHTH_NOTE_STEM_UP.png
Musical Symbols,U+1D1E8,𝇨,MUSICAL SYMBOL KIEVAN FLAT SIGN,images/U+1D1E8_MUSICAL_SYMBOL_KIEVAN_FLAT_SIGN.png
Musical Symbols,U+1D1E9,𝇩,MUSICAL SYMBOL SORI,images/U+1D1E9_MUSICAL_SYMBOL_SORI.png
Musical Symbols,U+1D1EA,𝇪,MUSICAL SYMBOL KORON,images/U+1D1EA_MUSICAL_SYMBOL_KORON.png
Ancient Greek Musical Notation,U+1D200,𝈀,GREEK VOCAL NOTATION SYMBOL-1,images/U+1D200_GREEK_VOCAL_NOTATION_SYMBOL-1.png
Ancient Greek Musical Notation,U+1D201,𝈁,GREEK VOCAL NOTATION SYMBOL-2,images/U+1D201_GREEK_VOCAL_NOTATION_SYMBOL-2.png
Ancient Greek Musical Notation,U+1D202,𝈂,GREEK VOCAL NOTATION SYMBOL-3,images/U+1D202_GREEK_VOCAL_NOTATION_SYMBOL-3.png
Ancient Greek Musical Notation,U+1D203,𝈃,GREEK VOCAL NOTATION SYMBOL-4,images/U+1D203_GREEK_VOCAL_NOTATION_SYMBOL-4.png
Ancient Greek Musical Notation,U+1D204,𝈄,GREEK VOCAL NOTATION SYMBOL-5,images/U+1D204_GREEK_VOCAL_NOTATION_SYMBOL-5.png
Ancient Greek Musical Notation,U+1D205,𝈅,GREEK VOCAL NOTATION SYMBOL-6,images/U+1D205_GREEK_VOCAL_NOTATION_SYMBOL-6.png
Ancient Greek Musical Notation,U+1D206,𝈆,GREEK VOCAL NOTATION SYMBOL-7,images/U+1D206_GREEK_VOCAL_NOTATION_SYMBOL-7.png
Ancient Greek Musical Notation,U+1D207,𝈇,GREEK VOCAL NOTATION SYMBOL-8,images/U+1D207_GREEK_VOCAL_NOTATION_SYMBOL-8.png
Ancient Greek Musical Notation,U+1D208,𝈈,GREEK VOCAL NOTATION SYMBOL-9,images/U+1D208_GREEK_VOCAL_NOTATION_SYMBOL-9.png
Ancient Greek Musical Notation,U+1D209,𝈉,GREEK VOCAL NOTATION SYMBOL-10,images/U+1D209_GREEK_VOCAL_NOTATION_SYMBOL-10.png
Ancient Greek Musical Notation,U+1D20A,𝈊,GREEK VOCAL NOTATION SYMBOL-11,images/U+1D20A_GREEK_VOCAL_NOTATION_SYMBOL-11.png
Ancient Greek Musical Notation,U+1D20B,𝈋,GREEK VOCAL NOTATION SYMBOL-12,images/U+1D20B_GREEK_VOCAL_NOTATION_SYMBOL-12.png
Ancient Greek Musical Notation,U+1D20C,𝈌,GREEK VOCAL NOTATION SYMBOL-13,images/U+1D20C_GREEK_VOCAL_NOTATION_SYMBOL-13.png
Ancient Greek Musical Notation,U+1D20D,𝈍,GREEK VOCAL NOTATION SYMBOL-14,images/U+1D20D_GREEK_VOCAL_NOTATION_SYMBOL-14.png
Ancient Greek Musical Notation,U+1D20E,𝈎,GREEK VOCAL NOTATION SYMBOL-15,images/U+1D20E_GREEK_VOCAL_NOTATION_SYMBOL-15.png
Ancient Greek Musical Notation,U+1D20F,𝈏,GREEK VOCAL NOTATION SYMBOL-16,images/U+1D20F_GREEK_VOCAL_NOTATION_SYMBOL-16.png
Ancient Greek Musical Notation,U+1D210,𝈐,GREEK VOCAL NOTATION SYMBOL-17,images/U+1D210_GREEK_VOCAL_NOTATION_SYMBOL-17.png
Ancient Greek Musical Notation,U+1D211,𝈑,GREEK VOCAL NOTATION SYMBOL-18,images/U+1D211_GREEK_VOCAL_NOTATION_SYMBOL-18.png
Ancient Greek Musical Notation,U+1D212,𝈒,GREEK VOCAL NOTATION SYMBOL-19,images/U+1D212_GREEK_VOCAL_NOTATION_SYMBOL-19.png
Ancient Greek Musical Notation,U+1D213,𝈓,GREEK VOCAL NOTATION SYMBOL-20,images/U+1D213_GREEK_VOCAL_NOTATION_SYMBOL-20.png
Ancient Greek Musical Notation,U+1D214,𝈔,GREEK VOCAL NOTATION SYMBOL-21,images/U+1D214_GREEK_VOCAL_NOTATION_SYMBOL-21.png
Ancient Greek Musical Notation,U+1D215,𝈕,GREEK VOCAL NOTATION SYMBOL-22,images/U+1D215_GREEK_VOCAL_NOTATION_SYMBOL-22.png
Ancient Greek Musical Notation,U+1D216,𝈖,GREEK VOCAL NOTATION SYMBOL-23,images/U+1D216_GREEK_VOCAL_NOTATION_SYMBOL-23.png
Ancient Greek Musical Notation,U+1D217,𝈗,GREEK VOCAL NOTATION SYMBOL-24,images/U+1D217_GREEK_VOCAL_NOTATION_SYMBOL-24.png
Ancient Greek Musical Notation,U+1D218,𝈘,GREEK VOCAL NOTATION SYMBOL-50,images/U+1D218_GREEK_VOCAL_NOTATION_SYMBOL-50.png
Ancient Greek Musical Notation,U+1D219,𝈙,GREEK VOCAL NOTATION SYMBOL-51,images/U+1D219_GREEK_VOCAL_NOTATION_SYMBOL-51.png
Ancient Greek Musical Notation,U+1D21A,𝈚,GREEK VOCAL NOTATION SYMBOL-52,images/U+1D21A_GREEK_VOCAL_NOTATION_SYMBOL-52.png
Ancient Greek Musical Notation,U+1D21B,𝈛,GREEK VOCAL NOTATION SYMBOL-53,images/U+1D21B_GREEK_VOCAL_NOTATION_SYMBOL-53.png
Ancient Greek Musical Notation,U+1D21C,𝈜,GREEK VOCAL NOTATION SYMBOL-54,images/U+1D21C_GREEK_VOCAL_NOTATION_SYMBOL-54.png
Ancient Greek Musical Notation,U+1D21D,𝈝,GREEK INSTRUMENTAL NOTATION SYMBOL-1,images/U+1D21D_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-1.png
Ancient Greek Musical Notation,U+1D21E,𝈞,GREEK INSTRUMENTAL NOTATION SYMBOL-2,images/U+1D21E_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-2.png
Ancient Greek Musical Notation,U+1D21F,𝈟,GREEK INSTRUMENTAL NOTATION SYMBOL-4,images/U+1D21F_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-4.png
Ancient Greek Musical Notation,U+1D220,𝈠,GREEK INSTRUMENTAL NOTATION SYMBOL-5,images/U+1D220_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-5.png
Ancient Greek Musical Notation,U+1D221,𝈡,GREEK INSTRUMENTAL NOTATION SYMBOL-7,images/U+1D221_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-7.png
Ancient Greek Musical Notation,U+1D222,𝈢,GREEK INSTRUMENTAL NOTATION SYMBOL-8,images/U+1D222_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-8.png
Ancient Greek Musical Notation,U+1D223,𝈣,GREEK INSTRUMENTAL NOTATION SYMBOL-11,images/U+1D223_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-11.png
Ancient Greek Musical Notation,U+1D224,𝈤,GREEK INSTRUMENTAL NOTATION SYMBOL-12,images/U+1D224_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-12.png
Ancient Greek Musical Notation,U+1D225,𝈥,GREEK INSTRUMENTAL NOTATION SYMBOL-13,images/U+1D225_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-13.png
Ancient Greek Musical Notation,U+1D226,𝈦,GREEK INSTRUMENTAL NOTATION SYMBOL-14,images/U+1D226_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-14.png
Ancient Greek Musical Notation,U+1D227,𝈧,GREEK INSTRUMENTAL NOTATION SYMBOL-17,images/U+1D227_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-17.png
Ancient Greek Musical Notation,U+1D228,𝈨,GREEK INSTRUMENTAL NOTATION SYMBOL-18,images/U+1D228_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-18.png
Ancient Greek Musical Notation,U+1D229,𝈩,GREEK INSTRUMENTAL NOTATION SYMBOL-19,images/U+1D229_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-19.png
Ancient Greek Musical Notation,U+1D22A,𝈪,GREEK INSTRUMENTAL NOTATION SYMBOL-23,images/U+1D22A_GREEK_INSTRUMENTAL_NOTATION_SYMBOL-23.png
